INDIAN RAIL TOUR CORP LTD,IRCTC,65
INDIAN RAILWAY FIN CORP L,IRFC,55
ICICI SECURITIES LIMITED,ISEC,65
ISGEC HEAVY ENG LTD,ISGEC,55
ITC LTD,ITC,70
ITD CEMENTATION INDIA LTD,ITDCEM,55
ICICIPRAMC - ICICITECH,ITIETF,60
J & K BANK LTD.,J&KBANK,55
JAMNA AUTO IND LTD,JAMNAAUTO,60
JAYANT AGRO ORGANICS LTD,JAYAGROGN,50
J B CHEMICALS AND PHARMA,JBCHEPHARM,60
JBM AUTO LIMITED,JBMA,35
JINDAL POLY FILMS LIMITED,JINDALPOLY,45
JINDAL SAW LIMITED,JINDALSAW,50
JINDAL STEEL & POWER LTD,JINDALSTEL,65
JIO FIN SERVICES LTD,JIOFIN,50
JK CEMENT LIMITED,JKCEMENT,70
JKUMAR INFR.LTD.,JKIL,50
JK LAKSHMI CEMENT LTD,JKLAKSHMI,60
JK PAPER LIMITED,JKPAPER,50
JK TYRE & INDUSTRIES LTD,JKTYRE,60
JM FINANCIAL LIMITED,JMFINANCIL,60
JINDAL STAINLESS LIMITED,JSL,60
JSW ENERGY LIMITED,JSWENERGY,50
JSW INFRASTRUCTURE LTD,JSWINFRA,40
JSW STEEL LIMITED,JSWSTEEL,70
JTL INDUSTRIES LIMITED,JTLIND,45
JUBILANT FOODWORKS LTD,JUBLFOOD,65
JUBILANT INGREVIA LIMITED,JUBLINGREA,60
NIP IND ETF JUNIOR BEES,JUNIORBEES,60
JUSTDIAL LTD.,JUSTDIAL,45
JYOTHY LABS LIMITED,JYOTHYLAB,45
KAJARIA CERAMICS LTD,KAJARIACER,60
KANSAI NEROLAC PAINTS LTD,KANSAINER,65
KARUR VYSYA BANK LTD,KARURVYSYA,65
KAYNES TECHNOLOGY IND LTD,KAYNES,30
KCP LTD,KCP,50
KEC INTL. LIMITED,KEC,55
KEI INDUSTRIES LTD.,KEI,60
KRISHNA INST OF MED SCI L,KIMS,60
KIOCL LIMITED,KIOCL,50
KIRI INDUSTRIES LIMITED,KIRIINDUS,50
KIRLOSKAR BROTHERS LTD,KIRLOSBROS,35
KNR CONSTRU LTD.,KNRCON,45
KOLTE PATIL DEV. LTD.,KOLTEPATIL,55
KOTAK MAHINDRA BANK LTD,KOTAKBANK,70
KALPATARU PROJECT INT LTD,KPIL,55
KPIT TECHNOLOGIES LIMITED,KPITTECH,60
KPR MILL LTD.,KPRMILL,60
KRBL LIMITED,KRBL,60
KRSNAA DIAGNOSTICS LTD,KRSNAA,55
KSB LIMITED,KSB,55
KAVERI SEED CO. LTD.,KSCL,55
KARNATAKA BANK LIMITED,KTKBANK,60
DR. LAL PATH LABS LTD.,LALPATHLAB,70
LA OPALA RG LIMITED,LAOPALA,60
LAURUS LABS LIMITED,LAURUSLABS,65
LEMON TREE HOTELS LTD,LEMONTREE,60
LG BALAKRISHNAN & BROS,LGBBROSLTD,45
LIC HOUSING FINANCE LTD,LICHSGFIN,65
LIFE INSURA CORP OF INDIA,LICI,65
LINCOLN PHARMA LTD,LINCOLN,50
LINDE INDIA LIMITED,LINDEINDIA,60
MACROTECH DEVELOPERS LTD,LODHA,60
LARSEN & TOUBRO LTD.,LT,70
L&T FINANCE LIMITED,LTF,65
LT FOODS LIMITED,LTFOODS,50
LTIMINDTREE LIMITED,LTIM,70
L&T TECHNOLOGY SER. LTD.,LTTS,70
LUMAX AUTO TECH LTD,LUMAXTECH,50
LUPIN LIMITED,LUPIN,70
LUX INDUSTRIES LIMITED,LUXIND,45
LAXMI ORGANIC INDUS LTD,LXCHEM,60
MAHINDRA & MAHINDRA LTD,M&M,65
M&M FIN. SERVICES LTD,M&MFIN,65
MAGADH SUGAR & ENERGY LTD,MAGADSUGAR,50
BANK OF MAHARASHTRA,MAHABANK,60
MAHINDRA LIFESPACE DEVLTD,MAHLIFE,60
MAHINDRA LOGISTIC LIMITED,MAHLOG,55
MAHARASHTRA SEAMLESS LTD,MAHSEAMLES,60
MAITHAN ALLOYS LTD,MAITHANALL,55
MANAPPURAM FINANCE LTD,MANAPPURAM,60
MANGALAM CEMENT LTD,MANGLMCEM,55
MANKIND PHARMA LIMITED,MANKIND,60
C.E. INFO SYSTEMS LIMITED,MAPMYINDIA,45
MARICO LIMITED,MARICO,70
MARKSANS PHARMA LIMITED,MARKSANS,60
MARUTI SUZUKI INDIA LTD.,MARUTI,70
MAS FINANCIAL SERV LTD,MASFIN,55
MASTEK LTD,MASTEK,60
MATRIMONY.COM LIMITED,MATRIMONY,55
MAX HEALTHCARE INS LTD,MAXHEALTH,55
MAYUR UNIQUOTERS LTD,MAYURUNIQ,55
MAZAGON DOCK SHIPBUIL LTD,MAZDOCK,50
GLOBAL HEALTH LIMITED,MEDANTA,50
MEDPLUS HEALTH SERV LTD,MEDPLUS,55
METRO BRANDS LIMITED,METROBRAND,45
METROPOLIS HEALTHCARE LTD,METROPOLIS,65
